"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-11-02 09:46:00,,,信息,,,Huobi/LTC_BTC交易对当前需要快速操作买入加仓到 0.7 ，预计花费 0.18855259800000113
2017-11-02 09:46:00,Huobi,8,买入,市价,0.188552598000001,
2017-11-02 09:50:00,,,信息,,,Huobi/LTC_BTC 交易对订单 8 买入交易已经成功!成交均价： 0.0071831 ，挂单买入： 0.1885 ，买到数量： 26.1896
2017-11-02 09:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-11-02 09:50:00,,,信息,,,Huobi/LTC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-11-02 09:50:00,,,信息,,,Huobi/LTC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.008392 ，总持仓数量： 1725.012 ，总持币成本： 14.475595
2017-11-02 19:04:00,,,信息,,,满足日K线创年半内新低之后加仓到 80 %的条件，可以操作买入
2017-11-02 19:04:00,,,信息,,,Huobi/LTC_BTC交易对当前需要快速操作买入加仓到 0.8 ，预计花费 1.8234305040000027
2017-11-02 19:04:00,Huobi,9,买入,市价,1.823430504,
2017-11-02 19:08:00,,,信息,,,Huobi/LTC_BTC 交易对订单 9 买入交易已经成功!成交均价： 0.0070291 ，挂单买入： 1.8234 ，买到数量： 258.8884
2017-11-02 19:08:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-11-02 19:08:00,,,信息,,,Huobi/LTC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-11-02 19:08:00,,,信息,,,Huobi/LTC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.008216 ，总持仓数量： 1983.9004 ，总持币成本： 16.299693
2017-11-15 20:32:00,,,信息,,,进入了死叉，对现有获利盘持仓进行平仓。
2017-11-15 20:32:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0088399 的价格卖出 80 个币，当前持仓总量 1983.9004 动态卖出点 0.2 基准卖出价 0.008216
2017-11-15 20:32:00,Huobi,10,卖出,市价,80,
2017-11-15 20:36:00,,,收益,0.048498,,
2017-11-15 20:36:00,,,信息,,,Huobi/LTC_BTC 交易对订单 10 交易成功!平均卖出价格： 0.0088399 ，平均持仓价格： 0.008216 ，卖出数量： 80 ，毛收盈： 0.048498 ，累计毛收盈： 0.048498
2017-11-15 20:36:00,,,信息,,,进入了死叉，对现有获利盘持仓进行平仓。
