"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-01-04 08:25:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 21 交易成功!成交均价： 0.1671821 ，挂单数量： 5.3611 ，买到数量： 32.0032
2018-01-04 08:25:00,,,信息,,,Huobi/BCH_BTC 交易对计划对当前成功的买入量做短线卖出挂单。
2018-01-04 08:25:00,Huobi,22,卖出,0.169523,32.0032,
2018-01-04 08:25:00,,,信息,,,Huobi/BCH_BTC 交易对将当前成功的买入量做卖出挂单成功，订单编号 22
2018-01-04 11:16:00,,,信息,,,当前基准买入价格 0.1671821 上次买入价格 0.1671821 动态买入点 0.036000000000000004 当前持仓总量 49.9397
2018-01-04 11:16:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1606581 的价格买入 36.3819 个币，当前账户余额为： 80.89526307 。本次下单金额 5.84504692839 ，本次预期买入数量 36.3819 ，预期成交价格 0.1606581
2018-01-04 11:16:01,Huobi,23,买入,市价,5.84504692839,
2018-01-04 11:18:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 23 交易成功!成交均价： 0.1606581 ，挂单数量： 5.845 ，买到数量： 36.3088
2018-01-04 11:18:00,,,信息,,,"Huobi/BCH_BTC 交易对先前存在短线交易挂单，现检测当前交易是否完成,没有完成强制取消挂单。"
2018-01-04 11:18:01,,,信息,,,Huobi/BCH_BTC 交易对取消未完成的短线交易挂单： 22
2018-01-04 11:18:01,Huobi,22,撤销,,,
2018-01-04 11:18:01,,,信息,,,Huobi/BCH_BTC 交易对先前的短线交易挂单未完成，现将其未完成的量 32.0032 按 0.1671821 买入计入长线核算。
2018-01-04 11:18:01,,,信息,,,Huobi/BCH_BTC 交易对先前的短线交易挂单买入价： 0.1671821 ，未卖出数量： 32.0032 ，长线持仓价格调整到： 0.169486 ，总持仓数量： 81.94290000000001 ，总持币成本： 13.888167
2018-01-04 11:18:01,,,信息,,,Huobi/BCH_BTC 交易对计划对当前成功的买入量做短线卖出挂单。
2018-01-04 11:18:01,Huobi,24,卖出,0.162907,36.3088,
2018-01-04 11:18:01,,,信息,,,Huobi/BCH_BTC 交易对将当前成功的买入量做卖出挂单成功，订单编号 24
2018-01-04 11:48:32,,,收益,44.873404,,
2018-01-04 11:48:32,,,信息,,,Huobi/BCH_BTC 交易对短线挂单 24 交易成功!卖出价格： 0.1637829 ，买入价格： 0.1606581 ，卖出数量： 36.3088 ，毛收盈： 0.089898 ，累计毛收盈： 44.87340400000001
