"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-04-19 00:32:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-04-19 00:32:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.108687 ，总持仓数量： 561.8106 ，总持币成本： 61.061259
2018-04-19 00:32:00,,,信息,,,满足日K线金叉之后加仓到 66.68859978490246 %的条件，可以操作买入
2018-04-19 00:32:00,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.6668859978490246 ，预计花费 17.268467668019163
2018-04-19 00:32:00,Huobi,46,买入,市价,17.2684676680192,
2018-04-19 00:36:00,,,信息,,,Huobi/BCH_BTC 交易对订单 46 买入交易已经成功!成交均价： 0.1066884 ，挂单买入： 17.2684 ，买到数量： 161.5344
2018-04-19 00:36:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-04-19 00:36:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-04-19 00:36:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.108288 ，总持仓数量： 723.345 ，总持币成本： 78.329823
2018-04-19 00:36:00,,,信息,,,满足日K线金叉之后加仓到 80 %的条件，可以操作买入
2018-04-19 00:36:00,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.8 ，预计花费 15.451834272
2018-04-19 00:36:00,Huobi,47,买入,市价,15.451834272,
2018-04-19 00:46:00,,,信息,,,Huobi/BCH_BTC 交易对订单 47 买入交易已经成功!成交均价： 0.1064545 ，挂单买入： 15.4518 ，买到数量： 144.859
2018-04-19 00:46:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-04-19 00:46:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-04-19 00:46:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.108018 ，总持仓数量： 868.2040000000001 ，总持币成本： 93.781318
2018-04-23 01:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1403509 的价格卖出 41 个币，当前持仓总量 868.204 动态卖出点 0.2 基准卖出价 0.108018
2018-04-23 01:46:00,Huobi,48,卖出,市价,41,
2018-04-23 01:50:00,,,收益,68.209603,,
